Filename,coefficient8,coefficient7,coefficient6,coefficient5,coefficient4,coefficient3,coefficient2,coefficient1
p8p8p4p10p3n1p5n2_0.png,8,8,4,10,3,-1,5,-2
n7p4p5n6n9p9p8p5_0.png,-7,4,5,-6,-9,9,8,5
n1n5p0p9p7p8n6p7_0.png,-1,-5,0,9,7,8,-6,7
n2n8p4n7n9p6n1p5_0.png,-2,-8,4,-7,-9,6,-1,5
n9p7p7p8p10p6n2p0_0.png,-9,7,7,8,10,6,-2,0
n1n6n1n5p1p2p4p2_0.png,-1,-6,-1,-5,1,2,4,2
p10n8n10p7p4p9n1n1_0.png,10,-8,-10,7,4,9,-1,-1
p0p9n7n8n1n3p7n10_0.png,0,9,-7,-8,-1,-3,7,-10
n9n4n10n6n2p6n6n3_0.png,-9,-4,-10,-6,-2,6,-6,-3
n6n9p7p3p3p5p0p2_0.png,-6,-9,7,3,3,5,0,2
p8n9n5n3p2p0p1p8_0.png,8,-9,-5,-3,2,0,1,8
p6n4p4p2n9p2p0p7_0.png,6,-4,4,2,-9,2,0,7
p4n6p4p6n2n4p7n4_0.png,4,-6,4,6,-2,-4,7,-4
n5p8p8n1n7n10p6n4_0.png,-5,8,8,-1,-7,-10,6,-4
n10n4p5p4n5p3p10p7_0.png,-10,-4,5,4,-5,3,10,7
n8p9p7n1p8n8n3n8_0.png,-8,9,7,-1,8,-8,-3,-8
p3p0p4p8n8n5n9p8_0.png,3,0,4,8,-8,-5,-9,8
p2p4p3p2p3p10n6p1_0.png,2,4,3,2,3,10,-6,1
p5n6p4n4p10n4p8p9_0.png,5,-6,4,-4,10,-4,8,9
p1n10n3n10n9p4p2n2_0.png,1,-10,-3,-10,-9,4,2,-2
p0n10n2p8n5n5p8n5_0.png,0,-10,-2,8,-5,-5,8,-5
n5p8n3n1p9n9p7p5_0.png,-5,8,-3,-1,9,-9,7,5
p6n5n7n2n1n3p0n2_0.png,6,-5,-7,-2,-1,-3,0,-2
p7n6n3n8n10n5n7p0_0.png,7,-6,-3,-8,-10,-5,-7,0
p3p6p7p2n6n6n10n6_0.png,3,6,7,2,-6,-6,-10,-6
n7p8p0p0n9n6p9p3_0.png,-7,8,0,0,-9,-6,9,3
n6n8p7n4p5n4n1p6_0.png,-6,-8,7,-4,5,-4,-1,6
n4p8p0p9p9p1n9n5_0.png,-4,8,0,9,9,1,-9,-5
n3p5p2p6p2p10n9p0_0.png,-3,5,2,6,2,10,-9,0
p10n4n5p3n2n3n2p2_0.png,10,-4,-5,3,-2,-3,-2,2
n6p8n3n8p3p6p5p8_0.png,-6,8,-3,-8,3,6,5,8
p5p3n10n2n7p2n1p10_0.png,5,3,-10,-2,-7,2,-1,10
n6p10p4n3n5p6n5p3_0.png,-6,10,4,-3,-5,6,-5,3
p4p0n3p8p3n6n7p6_0.png,4,0,-3,8,3,-6,-7,6
p6p1n9p10n2p2n5p4_0.png,6,1,-9,10,-2,2,-5,4
n10p9n8n5n4p7n9p9_0.png,-10,9,-8,-5,-4,7,-9,9
n7n9p7p8p2n9p1n1_0.png,-7,-9,7,8,2,-9,1,-1
n5n2p7p1p7p2p1n7_0.png,-5,-2,7,1,7,2,1,-7
n7p9n2p6p8n7p2p3_0.png,-7,9,-2,6,8,-7,2,3
n7p2n8n10p7p8p4p9_0.png,-7,2,-8,-10,7,8,4,9
p3n5n1p5p1n7n7n6_0.png,3,-5,-1,5,1,-7,-7,-6
p4n3p5p9n2p6p9n2_0.png,4,-3,5,9,-2,6,9,-2
n1p8n9n9p0n9n2p8_0.png,-1,8,-9,-9,0,-9,-2,8
p10n2n2n6n10n6p2n5_0.png,10,-2,-2,-6,-10,-6,2,-5
n1n4p10n3n7n1p5p9_0.png,-1,-4,10,-3,-7,-1,5,9
p6n3p4n8p10n4n10p9_0.png,6,-3,4,-8,10,-4,-10,9
n3p4p2p3p6n9n7n9_0.png,-3,4,2,3,6,-9,-7,-9
p0n2n2p10p10n3p3p3_0.png,0,-2,-2,10,10,-3,3,3
n5p6n3p7n6p7p3p9_0.png,-5,6,-3,7,-6,7,3,9
p1p2n3n6p8p8p10n5_0.png,1,2,-3,-6,8,8,10,-5
p1p7p0n8n4p1p4n3_0.png,1,7,0,-8,-4,1,4,-3
p1p10p9n4n6n7n6n5_0.png,1,10,9,-4,-6,-7,-6,-5
n7n5n9p4p0p7p6n2_0.png,-7,-5,-9,4,0,7,6,-2
p5p6n7n3n1n4p10p3_0.png,5,6,-7,-3,-1,-4,10,3
n6n7n3n8n3n8n3p1_0.png,-6,-7,-3,-8,-3,-8,-3,1
n7p4p5n7p1n7n5p1_0.png,-7,4,5,-7,1,-7,-5,1
p6p10n9n3n1n2n9n3_0.png,6,10,-9,-3,-1,-2,-9,-3
p6p1p2n5p2n3n7n9_0.png,6,1,2,-5,2,-3,-7,-9
p10p10p1n6n4n8p2p2_0.png,10,10,1,-6,-4,-8,2,2
p0n4p2p10p3n5p0p1_0.png,0,-4,2,10,3,-5,0,1
p10p2p3n1p1n3p9n9_0.png,10,2,3,-1,1,-3,9,-9
p7p5n2n2p0p5n2n5_0.png,7,5,-2,-2,0,5,-2,-5
n3n4p1n1n10p8p1p6_0.png,-3,-4,1,-1,-10,8,1,6
p10p9n2p9p3n9p1n6_0.png,10,9,-2,9,3,-9,1,-6
n6n10p4n2n1n4n1p1_0.png,-6,-10,4,-2,-1,-4,-1,1
n3n3p7p3p7p5n1p6_0.png,-3,-3,7,3,7,5,-1,6
