Filename,coefficient8,coefficient7,coefficient6,coefficient5,coefficient4,coefficient3,coefficient2,coefficient1
n9p3n2n3p3n10n9p3_0.png,-9,3,-2,-3,3,-10,-9,3
n8p2n8p4n10n9p6n2_0.png,-8,2,-8,4,-10,-9,6,-2
p4p4p10n6n5n1n8p8_0.png,4,4,10,-6,-5,-1,-8,8
p0p8n5n4n6p9p0p0_0.png,0,8,-5,-4,-6,9,0,0
p3p9p2p0p7n10n2n4_0.png,3,9,2,0,7,-10,-2,-4
n4p3p3n7p1n7p3n3_0.png,-4,3,3,-7,1,-7,3,-3
p6n10n7n9p10n4n9p10_0.png,6,-10,-7,-9,10,-4,-9,10
n7p8p7n9n5p7n9p5_0.png,-7,8,7,-9,-5,7,-9,5
p9n7p10p0n7p5n1p10_0.png,9,-7,10,0,-7,5,-1,10
n1p4n9p1n7p6p7p5_0.png,-1,4,-9,1,-7,6,7,5
n7p1p7p1n1p2n3n2_0.png,-7,1,7,1,-1,2,-3,-2
n7n2n4p3n4p5n9p8_0.png,-7,-2,-4,3,-4,5,-9,8
p9p10p7p2n7n10n5p5_0.png,9,10,7,2,-7,-10,-5,5
n4n4n10p1n7n8p4p4_0.png,-4,-4,-10,1,-7,-8,4,4
p5p8n2n4p9p7n8p6_0.png,5,8,-2,-4,9,7,-8,6
p0n7p4p8p3n6n8n2_0.png,0,-7,4,8,3,-6,-8,-2
n8p6n4p6p8p2n6n2_0.png,-8,6,-4,6,8,2,-6,-2
n10n7p7p4p7n6p5p9_0.png,-10,-7,7,4,7,-6,5,9
p8p7p6p0p3p4p4n7_0.png,8,7,6,0,3,4,4,-7
p7p5n1p8n9n8p0n10_0.png,7,5,-1,8,-9,-8,0,-10
p4p5n3p6n7p10n6n1_0.png,4,5,-3,6,-7,10,-6,-1
n5p5n7n4n1n6n5p3_0.png,-5,5,-7,-4,-1,-6,-5,3
p5n8p2n7n2n1p1p7_0.png,5,-8,2,-7,-2,-1,1,7
p9n10n6p5n5n9p3p1_0.png,9,-10,-6,5,-5,-9,3,1
p1n4p1p3p3p5p9n1_0.png,1,-4,1,3,3,5,9,-1
p1p9n5p4n8n10p1p3_0.png,1,9,-5,4,-8,-10,1,3
n3p4p3n10n3p5n10p4_0.png,-3,4,3,-10,-3,5,-10,4
n8p8n10n9n10p2p3p7_0.png,-8,8,-10,-9,-10,2,3,7
p0p3p4n7n5n4n1p2_0.png,0,3,4,-7,-5,-4,-1,2
n9n4p9n8n5n8n9n4_0.png,-9,-4,9,-8,-5,-8,-9,-4
p9n7n10p4p4p0p8n10_0.png,9,-7,-10,4,4,0,8,-10
n10p6p9n2n1n10p10n4_0.png,-10,6,9,-2,-1,-10,10,-4
p10p4p4n8p7n10n8p0_0.png,10,4,4,-8,7,-10,-8,0
p5n6p8n7p9p10n9p2_0.png,5,-6,8,-7,9,10,-9,2
p7p2p1p9n2p0p0n10_0.png,7,2,1,9,-2,0,0,-10
p10n2n8n3p1p5n3p6_0.png,10,-2,-8,-3,1,5,-3,6
n8n4p7p2p0p0p8n7_0.png,-8,-4,7,2,0,0,8,-7
n10p8n8p10n1p4n5p4_0.png,-10,8,-8,10,-1,4,-5,4
p1p7p8p2p1n6n1p0_0.png,1,7,8,2,1,-6,-1,0
n9p7p4p8n1n4n9n5_0.png,-9,7,4,8,-1,-4,-9,-5
p0p1p10n8p0n6p0p2_0.png,0,1,10,-8,0,-6,0,2
n8n7n8p9p1p3p4n7_0.png,-8,-7,-8,9,1,3,4,-7
p1p10p10n1p2n1n3p2_0.png,1,10,10,-1,2,-1,-3,2
p5p10n6p6p10n9p8n9_0.png,5,10,-6,6,10,-9,8,-9
n9n5p3n4p0p6p2n10_0.png,-9,-5,3,-4,0,6,2,-10
p3p5n4n7p6n2n6p2_0.png,3,5,-4,-7,6,-2,-6,2
p1p2p8n8n2n6n2n9_0.png,1,2,8,-8,-2,-6,-2,-9
p8n9n10p7n7p8p4p1_0.png,8,-9,-10,7,-7,8,4,1
n5p2n6n5p4p5p5p9_0.png,-5,2,-6,-5,4,5,5,9
p7n8p0p0n7n8p4n8_0.png,7,-8,0,0,-7,-8,4,-8
n2p4p9n8n9p3n5n2_0.png,-2,4,9,-8,-9,3,-5,-2
p3p6p9p2p9n10p2p1_0.png,3,6,9,2,9,-10,2,1
n8n9n6p1p6p1n10p1_0.png,-8,-9,-6,1,6,1,-10,1
p7p5n2p3n7p8n1p2_0.png,7,5,-2,3,-7,8,-1,2
n7n2p9p4p7p4n3p8_0.png,-7,-2,9,4,7,4,-3,8
n2n1n2n5n7p10n4p1_0.png,-2,-1,-2,-5,-7,10,-4,1
p0n8n7p6p1n3p2n5_0.png,0,-8,-7,6,1,-3,2,-5
n7n5p2n5p6n1n5p0_0.png,-7,-5,2,-5,6,-1,-5,0
n8n8p7n7n8p9n5n1_0.png,-8,-8,7,-7,-8,9,-5,-1
p7n1p1p3p3p6p4p10_0.png,7,-1,1,3,3,6,4,10
n10n5p9n6p7n7p7p10_0.png,-10,-5,9,-6,7,-7,7,10
p8p7p0n4n3n5n3n3_0.png,8,7,0,-4,-3,-5,-3,-3
p2n1p0p4p3p8p1p5_0.png,2,-1,0,4,3,8,1,5
p8n8p3p2n2p6n1p1_0.png,8,-8,3,2,-2,6,-1,1
p1p2p2p2n6p6p4n1_0.png,1,2,2,2,-6,6,4,-1
n8n6p5p2p3p5p7n5_0.png,-8,-6,5,2,3,5,7,-5
p1p9p6p9p3p6p0n8_0.png,1,9,6,9,3,6,0,-8
n7n10n7n9n1n4n1p7_0.png,-7,-10,-7,-9,-1,-4,-1,7
n10n4n10n1p6p0p5n1_0.png,-10,-4,-10,-1,6,0,5,-1
p9n3n10n10p9p6p7p2_0.png,9,-3,-10,-10,9,6,7,2
p9n1n4n6n6p1p10p10_0.png,9,-1,-4,-6,-6,1,10,10
p0n7n3n5p2p6p8p2_0.png,0,-7,-3,-5,2,6,8,2
p7p6n6n1n3p9n6p0_0.png,7,6,-6,-1,-3,9,-6,0
p7n8p4n4p6p4p2n5_0.png,7,-8,4,-4,6,4,2,-5
p9n3n8n7n4n10p7n10_0.png,9,-3,-8,-7,-4,-10,7,-10
p1p3n8n7n7p6n2p9_0.png,1,3,-8,-7,-7,6,-2,9
p3p10n1n2p0n1n8p4_0.png,3,10,-1,-2,0,-1,-8,4
n4p3p9n7n9p4p2p4_0.png,-4,3,9,-7,-9,4,2,4
n5n10p8n3n2n5n5n6_0.png,-5,-10,8,-3,-2,-5,-5,-6
p9p3p0n7n2p3n10n10_0.png,9,3,0,-7,-2,3,-10,-10
n2p1n2p6p5p8p0n8_0.png,-2,1,-2,6,5,8,0,-8
n9p2p3n3p1p6n9n2_0.png,-9,2,3,-3,1,6,-9,-2
n6n9p4p0n10p1n10n4_0.png,-6,-9,4,0,-10,1,-10,-4
n2p9p6n3p1p10p3p6_0.png,-2,9,6,-3,1,10,3,6
